#Timestamp,Temperature,Humidity,TEMPERATURE_ROAD,RAIN
2025-04-21 17:10,9,76.1,0,0
2025-04-21 17:25,8.9,76.2,12.2,0
2025-04-21 21:20,8.7,83.3,10.3,0
2025-04-21 21:30,8.8,83.2,10.2,0
2025-04-21 21:55,8.7,84.1,10.2,0
2025-04-21 22:55,8.7,85.8,10,0
2025-04-21 23:55,8.5,90.3,9.8,0
2025-04-22 00:55,8.4,95.5,9.7,0
2025-04-22 01:55,8.5,95.3,9.7,0
2025-04-22 02:55,8.4,96.2,9.7,0
2025-04-22 03:55,8.5,97.1,9.7,0
2025-04-22 04:55,8.6,98.9,9.6,0
2025-04-22 05:55,8.8,98.4,9.5,0
2025-04-22 06:55,9,97.3,9.8,0
2025-04-22 07:55,9.4,96.2,10.2,0
2025-04-22 08:55,9.6,93.6,10.3,0
2025-04-22 09:55,10.2,91.6,11.3,0
2025-04-22 10:55,10.7,88.2,12.7,0
2025-04-22 11:55,11,84.5,13.8,0
2025-04-22 12:55,11.6,83.7,14.1,0
2025-04-22 13:55,11.5,81.9,13.7,0
2025-04-22 14:55,11.1,85,12.8,0
2025-04-22 15:55,10.8,92.1,12.5,0
2025-04-22 16:55,10.6,91.2,12.1,0
2025-04-22 17:55,10.8,86.4,12.9,0
2025-04-22 18:55,10.8,85.9,12.6,0
2025-04-22 19:55,10.5,85.9,11.8,0
2025-04-22 20:55,10.2,88,11.3,0
2025-04-22 21:55,10,88.7,11,0
2025-04-22 22:55,9.5,90.7,10.3,0
2025-04-22 23:55,9.2,93.3,10.4,0
2025-04-23 00:55,9.2,93.5,10.4,0
2025-04-23 01:55,9.5,93.8,10.4,0
2025-04-23 03:55,9,95,10,0
2025-04-23 04:55,8.7,94.3,9.9,0
2025-04-23 05:55,9,93.4,9.8,0
2025-04-23 06:55,9.3,89.9,10,0
2025-04-23 07:55,9.6,86.1,11.2,0
2025-04-23 08:55,9.9,83.2,11.9,0
2025-04-23 09:55,10.6,76.3,13.4,0
2025-04-23 10:55,10.7,73.4,14.2,0
2025-04-23 11:55,11.4,68.5,15.2,0
2025-04-23 12:55,12.6,60.6,18.9,0
2025-04-23 13:55,13.5,59.6,20.3,0
2025-04-23 14:55,12.6,63.8,18.5,0
2025-04-23 15:55,12.1,66.1,17.2,0
2025-04-23 16:55,13.1,57.5,19,0
2025-04-23 17:55,13.3,58.9,18.6,0
2025-04-23 18:55,11.7,68.3,15.4,0
2025-04-23 19:55,11.2,67.8,14,0
2025-04-23 20:55,10.7,72.1,12.9,0
2025-04-23 21:55,10.3,74.6,12.3,0
2025-04-23 22:55,9.6,79.4,11.4,0
2025-04-23 23:55,8.3,85.9,10.1,0
2025-04-24 00:55,6.9,91.3,9.4,0
2025-04-24 01:55,7.3,89.1,9.8,0
2025-04-24 02:55,7.4,88.7,9.3,0
2025-04-24 03:55,7.8,88.7,9.4,0
2025-04-24 04:55,8,89.4,9.5,0
2025-04-24 05:55,7.9,90.4,8.8,0
2025-04-24 06:55,8.1,89.2,8.9,0
2025-04-24 07:55,9.1,81.8,10.9,0
2025-04-24 08:55,9.3,78.9,13.4,0
2025-04-24 09:55,11.1,70.3,19,0
2025-04-24 10:55,12,65.2,21.2,0
2025-04-24 11:55,13.9,54.4,24.2,0
2025-04-24 12:55,15.4,49.2,28.6,0
2025-04-24 13:55,14,59.9,23,0
2025-04-24 14:55,15.2,54.5,27.8,0
2025-04-24 15:55,14.8,57,26.5,0
2025-04-24 16:50,14.4,54.4,24.8,0
2025-04-24 17:55,13.8,53.1,22.4,0
2025-04-24 18:55,13.3,48.4,17.5,0
2025-04-24 19:55,11.8,68,15.3,0
2025-04-24 20:55,10.8,72.9,13.6,0
2025-04-24 21:55,9.7,78.6,13.1,0
2025-04-24 22:55,9.2,81.9,12.8,0
2025-04-24 23:55,9.4,75,12.1,0
2025-04-25 00:55,8,80,10.7,0
2025-04-25 01:55,7.6,78,10.2,0
2025-04-25 02:55,7.1,78,9.7,0
2025-04-25 03:55,6.9,77.8,9.7,0
2025-04-25 04:55,6.7,81.9,9.5,0
2025-04-25 05:55,6.7,81.4,9.4,0
2025-04-25 06:55,6.8,75.4,9.6,0
2025-04-25 07:55,7.1,68.3,10.9,0
2025-04-25 08:55,8,63.2,14.3,0
2025-04-25 09:55,9.3,50.8,18.3,0
2025-04-25 10:55,10.5,38.9,21.7,0
2025-04-25 11:55,11.6,37.6,24.7,0
2025-04-25 12:55,11.4,32.2,26.7,0
2025-04-25 13:55,12.3,32.8,27.4,0
2025-04-25 14:55,13,30.6,27.2,0
2025-04-25 15:55,13.7,28.5,26.6,0
2025-04-25 16:55,13.9,26.7,24.8,0
2025-04-25 17:55,12,30.5,22.3,0
2025-04-25 18:55,10.8,31.9,17,0
2025-04-25 19:55,9.5,36.4,14.4,0
2025-04-25 20:55,8,37.8,12.3,0
2025-04-25 21:55,6.6,45.9,10.8,0
2025-04-25 22:55,6,45.4,9.7,0
2025-04-25 23:55,3.6,59.5,8.5,0
2025-04-26 00:55,4,59.7,7.6,0
2025-04-26 01:55,2.7,65,6.7,0
2025-04-26 02:55,2,68.8,6.1,0
2025-04-26 03:55,0.5,73.8,5.3,0
2025-04-26 04:55,-0.2,77.6,4.5,0
2025-04-26 05:55,-1,81.4,4,0
2025-04-26 06:55,0.9,76.1,4.1,0
2025-04-26 07:55,4.9,56.9,6.1,0
2025-04-26 08:55,8.7,38.7,12.5,0
2025-04-26 09:55,10.7,27.9,17.6,0
2025-04-26 10:15,10.7,25.9,19,0
2025-04-26 10:15,10.7,25.9,19,0
2025-04-26 10:15,10.7,25.9,19,0
2025-04-26 10:15,10.7,25.9,19,0
2025-04-26 10:15,10.7,25.9,19,0
2025-04-26 10:15,10.7,25.9,19,0
2025-04-26 10:15,10.7,25.9,19,0
2025-04-26 17:55,12.9,36.8,23.1,0
2025-04-26 18:55,12,38.4,17.7,0
2025-04-26 19:55,11.1,42,15.2,0
2025-04-26 20:55,9.8,53.5,13.4,0
2025-04-26 21:55,7,65.6,11.6,0
2025-04-26 22:55,5.3,76.7,10.1,0
2025-04-26 23:55,4.6,82.4,9.1,0
2025-04-27 00:55,3.7,86.2,8.1,0
2025-04-27 01:55,3.4,87.9,7.8,0
2025-04-27 02:55,5,93.9,8.9,0
2025-04-27 03:55,6,98.6,9,0
2025-04-27 04:55,6.2,100,9.3,0
2025-04-27 05:55,6.1,100,9.4,0
2025-04-27 06:55,6.5,99.9,9.8,0
2025-04-27 07:55,8.4,94,11.4,0
2025-04-27 08:55,11.9,69.7,15.4,0
2025-04-27 09:55,12.5,64.5,17.2,0
2025-04-27 10:55,12.1,63.6,18.6,0
2025-04-27 11:55,12.9,59.1,20.1,0
2025-04-27 12:55,14.1,49.8,26.6,0
2025-04-27 13:55,14.5,44.1,28.4,0
2025-04-27 14:55,15.5,41.8,28.6,0
2025-04-27 15:55,14.1,45,26.2,0
2025-04-27 16:55,13.3,41.4,24,0
2025-04-27 17:55,13.1,43.5,21.5,0
2025-04-27 18:55,12.4,44.8,17.3,0
2025-04-27 19:55,11.4,55,15.3,0
2025-04-27 20:55,9.9,62.7,13.4,0
2025-04-27 21:55,8.6,72.1,12.1,0
2025-04-27 22:55,8.6,77.1,11.7,0
2025-04-27 23:55,8.7,78.4,10.8,0
2025-04-28 00:55,9.8,79.6,10.6,0
2025-04-28 01:55,10.4,71.5,10.3,0
2025-04-28 02:55,10.6,70.2,10.8,0
2025-04-28 03:55,10,75.9,10.6,0
2025-04-28 04:55,10.4,75.4,11.2,0
2025-04-28 05:55,10.6,73.6,11.3,0
2025-04-28 06:55,10.6,73.5,11.4,0
2025-04-28 07:55,11.1,71.1,12.5,0
2025-04-28 08:55,11.7,66.1,14.2,0
2025-04-28 09:55,12.7,58.1,16.7,0
2025-04-28 10:55,12.2,60.8,16,0
2025-04-28 11:55,12.4,61.9,15.8,0
2025-04-28 12:50,12.7,59.5,16.1,0
2025-04-28 13:55,13.5,56.4,16.8,0
2025-04-28 14:55,14.6,56.1,18.3,0
2025-04-28 15:55,14.6,58.2,18.5,0
2025-04-28 16:55,14.3,65.2,18.3,0
2025-04-28 17:55,15.7,59.8,19.9,0
2025-04-28 18:55,14.2,67.4,17.6,0
2025-04-28 19:50,13.3,73.5,15.6,0
2025-04-28 20:55,12,82,13.8,0
2025-04-28 21:55,11.5,85.2,12.9,0
2025-04-28 22:55,11.3,85.4,13.2,0
2025-04-28 23:55,11,87.7,13.2,0
2025-04-29 00:55,10.2,90.3,12.9,0
2025-04-29 01:55,10.2,89,12.7,0
2025-04-29 02:55,9.8,89.7,11.5,0
2025-04-29 03:55,9,91,10.4,0
2025-04-29 04:55,8.4,91.6,9.6,0
2025-04-29 05:55,7.4,91.9,9.2,0
2025-04-29 06:55,9.1,86.1,9.8,0
2025-04-29 07:55,12.2,65.8,11.8,0
2025-04-29 08:55,13.2,55.2,17.1,0
2025-04-29 09:55,14.1,53.6,21.4,0
2025-04-29 10:55,15.2,44.2,25.3,0
2025-04-29 11:55,15.7,39.1,28,0
2025-04-29 12:55,15.7,42.8,30.4,0
2025-04-29 13:55,15.3,40.6,29.8,0
2025-04-29 14:55,15,41.7,29.1,0
2025-04-29 15:55,15.6,41.6,28.2,0
2025-04-29 16:50,14.7,41,26.7,0
2025-04-29 17:50,14.6,38.3,24.3,0
2025-04-29 18:55,14.3,40.4,20.4,0
2025-04-29 19:55,12.8,51.8,17.2,0
2025-04-29 20:55,11.8,65.5,15.7,0
2025-04-29 21:55,10.3,71.4,14.2,0
2025-04-29 22:55,10.3,79.3,13.3,0
2025-04-29 23:55,11,82.3,13.1,0
2025-04-30 00:55,10.7,85.8,12.7,0
2025-04-30 01:55,10.1,88.8,11.9,0
2025-04-30 02:55,10.3,87.7,11.5,0
2025-04-30 03:55,10.2,86.6,11.1,0
2025-04-30 04:55,10.2,87.8,11,0
2025-04-30 05:55,10.6,84.9,11.2,0
2025-04-30 06:55,11.4,78.3,12.1,0
2025-04-30 07:55,12.2,74.9,13.7,0
2025-04-30 08:55,13,73,16.8,0
2025-04-30 09:55,13.9,68.4,19.7,0
2025-04-30 10:55,14.4,68.4,21.4,0
2025-04-30 11:55,14.8,65,22.5,0
2025-04-30 12:55,16.3,58.4,28,0
2025-04-30 13:55,16.9,48.5,29.8,0
2025-04-30 14:55,17.1,36.6,30.1,0
2025-04-30 15:55,17.4,34.2,29.3,0
2025-04-30 16:55,17.4,37,27.4,0
2025-04-30 17:55,16.9,37.7,25.3,0
2025-04-30 18:55,14.9,46.8,19.9,0
2025-04-30 19:55,13.7,51,17.4,0
2025-04-30 20:55,12.2,71.3,15.6,0
2025-04-30 21:55,9.7,79.5,13.9,0
2025-04-30 22:55,8,85.3,12.6,0
2025-04-30 23:55,7.2,90.5,11.5,0
2025-05-01 00:55,6.6,91.8,10.7,0
2025-05-01 01:55,6.1,92.8,10.1,0
2025-05-01 02:55,5.6,94.7,9.5,0
2025-05-01 03:55,5.3,96.9,9.1,0
2025-05-01 04:55,5.5,95.5,8.8,0
2025-05-01 05:55,6,94.5,8.9,0
2025-05-01 06:55,7.9,98.1,10.3,0
2025-05-01 07:55,9.9,97.9,12.2,0
2025-05-01 08:55,13.6,78.4,16.8,0
2025-05-01 09:55,14.8,67.3,21,0
2025-05-01 10:55,15.5,66.1,25.2,0
2025-05-01 11:55,16.1,64.4,28,0
2025-05-01 12:55,15,70.9,27.9,0
2025-05-01 13:55,12.9,77.6,23.5,0
2025-05-01 14:55,13,78.8,22,0
2025-05-01 15:55,16.1,65.9,26.2,0
2025-05-01 16:55,17.9,58.1,26.8,0
2025-05-01 17:55,18.4,56,25.2,0
2025-05-01 18:55,17.8,56.7,21.3,0
2025-05-01 19:55,16.6,66.4,19.2,0
2025-05-01 20:55,14.4,75.9,17.6,0
2025-05-01 21:55,13.5,79.2,16,0
2025-05-01 22:55,12.8,80.8,15,0
2025-05-01 23:55,12.2,83.9,14,0
2025-05-02 00:55,12,84.9,13.4,0
2025-05-02 01:55,13,81.7,13.7,0
2025-05-02 02:55,14.8,73.6,13.7,0
2025-05-02 03:55,13.2,82.3,13,0
2025-05-02 04:55,12.4,83.3,13.4,0
2025-05-02 05:55,11.8,85.2,13.4,0
2025-05-02 06:55,11.6,89.9,13,0.1
2025-05-02 07:55,11,95,12.6,0.8
2025-05-02 08:55,10.1,95.3,12.4,0.3
2025-05-02 09:55,11.6,77.9,15.7,0
2025-05-02 10:55,12.7,63.3,21.7,0
2025-05-02 11:55,12.7,61.6,25.7,0
2025-05-02 12:55,12.3,62.3,24.3,0
2025-05-02 13:55,12.1,60.5,24.1,0
2025-05-02 14:55,13.3,58,26.5,0
2025-05-02 15:55,13.1,60.5,25.4,0
2025-05-02 16:55,12.9,61.7,24.4,0
2025-05-02 17:55,11.7,64.6,21.7,0
2025-05-02 18:55,11.2,67.1,17.6,0
2025-05-02 19:55,10.5,70.7,15.4,0
2025-05-02 20:55,9.9,76.1,13.9,0
2025-05-02 21:55,9.6,78.2,12.8,0
2025-05-02 22:55,9.7,80.6,12.2,0
2025-05-02 23:55,9.5,82,11.7,0
2025-05-03 00:55,9.5,83.6,11.7,0
2025-05-03 01:55,9.3,80.9,11,0
2025-05-03 02:55,9.3,81.5,10.8,0
2025-05-03 03:55,8.6,78.7,10,0
2025-05-03 04:55,8,81.6,9.7,0
2025-05-03 05:55,9.1,81.4,10.6,0
2025-05-03 06:55,9.5,77.9,11.5,0
2025-05-03 07:55,9.9,74.4,12.8,0
2025-05-03 08:55,10.5,71.8,14.7,0
2025-05-03 09:55,10.8,71,16.5,0
2025-05-03 10:55,11.2,65.1,17.5,0
2025-05-03 11:55,11.3,64.2,18.2,0
2025-05-03 12:55,12,62.3,19.8,0
2025-05-03 13:55,13.2,57.6,25.3,0
2025-05-03 14:55,12.9,55.1,23.4,0
2025-05-03 15:55,12.4,61.3,20.4,0
2025-05-03 16:55,9.8,88.7,15.2,0.6
2025-05-03 17:55,10.6,89.2,15.2,0
2025-05-03 18:55,11.2,68.8,14.8,0
2025-05-03 19:55,10.3,66.7,12.9,0
2025-05-03 20:55,9.7,71.3,12,0
2025-05-03 21:55,9.2,75.2,11.4,0
2025-05-03 22:55,8.4,79.8,10.3,0
2025-05-03 23:55,6.2,89.9,9.4,0
2025-05-04 00:55,5.4,93.8,8.7,0
2025-05-04 01:55,4.7,94.4,8.3,0
2025-05-04 02:55,4.3,96.9,7.7,0
2025-05-04 03:55,6.4,89.3,8.3,0
2025-05-04 04:55,6.3,78.4,7.6,0
2025-05-04 05:55,6.5,65.6,7.5,0
2025-05-04 06:55,6.9,59.5,9,0
2025-05-04 07:55,7.6,55.2,10.5,0
2025-05-04 08:55,7.7,52.5,14.8,0
2025-05-04 09:55,7.9,48.4,19.2,0
2025-05-04 10:55,9.1,45.4,22.5,0
2025-05-04 11:55,9.8,41.5,25.5,0
2025-05-04 12:55,10.4,35.2,26.4,0
2025-05-04 13:55,11.4,32.9,26.3,0
2025-05-04 14:55,9.6,31.8,22.7,0
2025-05-04 15:55,10.7,31.7,22.4,0
2025-05-04 16:55,10.3,28.1,21,0
2025-05-04 17:55,10.5,26.1,20.8,0
2025-05-04 18:55,10.4,24.8,17.2,0
2025-05-04 19:55,9.4,28.5,14.9,0
2025-05-04 20:55,8.1,31.7,12.5,0
2025-05-04 21:55,6.7,37,10.8,0
2025-05-04 22:55,3.5,61.5,9.2,0
2025-05-04 23:55,2.2,67.4,8.1,0
2025-05-05 00:55,0.6,73.9,7.2,0
2025-05-05 01:55,-0.1,77.1,6.4,0
2025-05-05 02:55,-0.8,82.7,5.6,0
2025-05-05 03:55,-1.1,84,4.9,0
2025-05-05 04:55,-1.3,86.4,4.1,0
2025-05-05 05:55,-1.3,87,3.6,0
2025-05-05 06:55,0.1,82.7,3.7,0
2025-05-05 07:55,4.6,66.3,5.6,0
2025-05-05 08:55,8.3,43.3,12.5,0
2025-05-05 09:55,10.2,30,17.9,0
2025-05-05 10:55,11.5,27.6,22.3,0
2025-05-05 11:55,11.7,25.7,25.2,0
2025-05-05 12:55,12.7,25.5,27.5,0
2025-05-05 13:55,13.8,29.4,28.7,0
2025-05-05 14:55,14,30.6,28.2,0
2025-05-05 15:55,13.7,31.4,27.2,0
2025-05-05 16:55,13.5,40,24.7,0
2025-05-05 17:55,13.2,44.7,22.7,0
2025-05-05 18:55,12.3,39.6,17.8,0
2025-05-06 17:55,14.4,32.1,23,0
2025-05-06 18:55,13.4,34.3,19.4,0
2025-05-06 19:55,12.7,40.2,17.3,0
2025-05-06 20:55,11.9,45.7,15.5,0
2025-05-06 21:55,10.6,54.6,13.8,0
2025-05-06 22:55,9.3,64,12.5,0
2025-05-06 23:55,6.5,74.8,11,0
2025-05-07 00:55,4.9,83.1,9.9,0
2025-05-07 01:55,3.9,86.4,9,0
2025-05-07 02:55,2.8,90.1,8.1,0
2025-05-07 03:55,2.3,91.6,7.3,0
2025-05-07 04:55,1.6,92.2,6.5,0
2025-05-07 05:55,1.9,91.2,6,0
2025-05-07 06:55,3.8,85.1,6.6,0
2025-05-07 07:55,8.1,66.5,8.5,0
2025-05-07 08:55,10.9,50.9,15.2,0
2025-05-07 09:55,12.5,42,20.3,0
2025-05-07 10:55,14.6,33.6,24.2,0
2025-05-07 11:55,16,28.7,27.8,0
2025-05-07 12:55,16.4,29.7,28.5,0
2025-05-07 13:55,16,34.6,30.5,0
2025-05-07 14:55,16.7,30.9,29.9,0
2025-05-07 15:55,17.2,31.2,29.9,0
2025-05-07 16:55,16.3,32.4,26.9,0
2025-05-07 17:55,15.3,32.9,24.4,0
2025-05-07 18:55,13.3,38.7,20.2,0
2025-05-07 19:55,12.6,37.7,17.7,0
2025-05-07 20:55,12.2,38.7,15.9,0
2025-05-07 21:55,9.7,52.3,13.9,0
2025-05-07 22:55,6.7,66.6,12.2,0
2025-05-07 23:55,5.4,72.7,10.8,0
2025-05-08 00:55,5,75.5,10.5,0
2025-05-08 01:55,5.4,74.3,10.6,0
2025-05-08 02:55,4.6,79,9.5,0
2025-05-08 03:55,4.2,82.4,9.2,0
2025-05-08 04:55,3.8,83.7,8.4,0
2025-05-08 05:55,3.4,87.3,7.5,0
2025-05-08 06:55,5.5,79,8.1,0
2025-05-08 07:55,9.1,65.2,9.8,0
2025-05-08 08:55,12.2,45,16.5,0
