#Date,Nibe,Total
2025-09-27,-1,33232
2025-09-30,-1,33238
2025-10-01,-1,33250
2025-10-02,-1,33266
2025-10-03,-1,33280
2025-10-04,-1,33310
2025-10-05,-1,33339
2025-10-06,-1,33361
2025-10-07,-1,33388
2025-10-08,-1,33405
2025-10-09,-1,33423
2025-10-10,-1,33441
2025-10-11,-1,33464
2025-10-12,-1,33485
2025-10-13,-1,33504
2025-10-14,-1,33525
2025-10-15,-1,33549
2025-10-16,-1,33573
2025-10-17,-1,33595
2025-10-18,-1,33617
2025-10-19,-1,33632
2025-10-20,-1,33652
2025-10-21,-1,33672
2025-10-22,-1,33702
2025-10-23,-1,33729
2025-10-24,-1,33752
2025-10-25,-1,33769
2025-10-26,-1,33793
2025-10-27,-1,33810
2025-10-28,-1,33827
2025-10-29,-1,33845
2025-10-30,-1,33868
2025-10-31,-1,33895
2025-11-01,-1,33920
2025-11-02,-1,33948
2025-11-03,-1,33970
2025-11-04,-1,33997
2025-11-05,-1,34023
2025-11-06,-1,34043
2025-11-07,-1,34069
2025-11-08,-1,34096
2025-11-09,-1,34126
2025-11-10,-1,34148
2025-11-11,-1,34168
2025-11-12,-1,34197
2025-11-13,-1,34223
2025-11-14,-1,34259
2025-11-15,-1,34297
2025-11-16,-1,34317
2025-11-17,-1,34355
2025-11-18,-1,34393
2025-11-19,-1,34434
2025-11-20,-1,34477
2025-11-21,-1,34527
2025-11-22,-1,34548
2025-11-23,-1,34575
2025-11-24,-1,34614
2025-11-25,-1,34653
2025-11-26,-1,34687
2025-11-27,-1,34713
2025-11-28,-1,34742
2025-11-29,-1,34766
2025-11-30,-1,34796
2025-12-01,-1,34818
2025-12-02,-1,34837
2025-12-03,-1,34860
2025-12-04,-1,34886
2025-12-05,-1,34907
2025-12-06,-1,34931
2025-12-07,-1,34962
2025-12-08,-1,34989
2025-12-09,-1,35016
2025-12-10,-1,35043
2025-12-11,-1,35071
2025-12-12,-1,35089
2025-12-13,-1,35114
2025-12-14,-1,35145
2025-12-15,-1,35165
2025-12-16,-1,35187
2025-12-17,-1,35209
2025-12-18,-1,35237
2025-12-19,-1,35261
2025-12-20,-1,35290
2025-12-23,-1,35390
2025-12-24,-1,35425
2025-12-25,-1,35460
2025-12-26,-1,35484
2025-12-27,-1,35511
2025-12-28,-1,35547
2025-12-29,-1,35592
2025-12-30,-1,35631
2025-12-31,-1,35672
2026-01-01,-1,35704
2026-01-02,-1,35742
2026-01-03,-1,35796
2026-01-04,-1,35853
2026-01-05,-1,35901
2026-01-06,-1,35976
2026-01-07,-1,36016
2026-01-08,-1,36062
2026-01-09,-1,36113
2026-01-10,-1,36177
2026-01-11,-1,36270
2026-01-12,-1,36330
2026-01-13,-1,36363
2026-01-14,-1,36397
2026-01-15,-1,36429
2026-01-16,-1,36457
