#Date,Monthly Energy
2015-08-31,0
2015-09-30,1944
2015-10-31,621
2015-11-30,688
2015-12-31,794
2016-01-31,1265
2016-02-28,701
2016-03-30,526
2016-04-30,426
2016-05-31,365
2016-06-30,386
2016-07-31,426
2016-08-31,448
2016-09-30,454
2016-10-31,528
2016-11-30,853
2016-12-31,896
2017-01-31,1028
2017-02-28,878
2017-03-31,655
2017-04-30,478
2017-05-31,427
2017-06-30,400
2017-07-31,316
2017-08-31,461
2017-09-30,487
2017-10-31,587
2017-11-30,725
2017-12-31,912
2018-01-31,981
2018-02-28,1108
2018-03-31,960
2018-04-30,516
2018-05-31,336
2018-06-30,358
2018-07-31,280
2018-08-31,427
2018-09-30,451
2018-10-31,588
2018-11-30,771
2018-12-31,959
2019-01-31,1148
2019-02-28,748
2019-03-31,683
2019-04-30,488
2019-05-31,467
2019-06-30,400
2019-07-31,320
2019-08-31,488
2019-09-30,454
2019-10-31,619
2019-11-30,695
2019-12-31,801
2020-01-31,737
2020-02-29,759
2020-03-31,693
2020-04-30,486
2020-05-31,436
2020-06-30,389
2020-07-31,469
2020-08-31,404
2020-09-30,533
2020-10-31,619
2020-11-30,708
2020-12-31,838
2021-01-31,1255
2021-02-29,1197
2021-03-31,791
2021-04-30,588
2021-05-31,513
2021-06-30,368
2021-07-31,450
2021-08-31,420
2021-09-30,501
2021-10-31,647
2021-11-30,754
2021-12-31,1306
2022-01-31,935
2022-02-28,738
2022-03-31,709
2022-04-30,563
2022-05-31,420
2022-06-30,435
2022-07-31,380
2022-08-31,467
2022-09-30,401
2022-10-31,610
2022-11-30,621
2022-12-31,1062
2023-01-31,770
2023-02-28,668
2023-03-31,832
2023-04-30,473
2023-05-31,348
2023-06-30,376
2023-07-31,472
2023-08-31,621
2023-09-30,618
2023-10-31,567
2023-11-30,927
2023-12-31,1120
2024-01-31,1340
2024-02-29,843
2024-03-31,724
2024-04-30,567
2024-05-31,428
2024-06-30,492
2024-07-31,531
2024-08-31,554
2024-09-30,549
