#Date,Monthly Energy
2015-09-30,1944
2015-10-31,621
2015-11-30,688
2015-12-31,794
2016-01-31,1265
2016-02-28,701
2016-03-30,526
2016-04-30,426
2016-05-31,365
2016-06-30,386
2016-07-31,426
2016-08-31,448
2016-09-30,454
2016-10-31,528
2016-11-30,853
2016-12-31,896
2017-01-31,1028
2017-02-28,878
2017-03-31,655
2017-04-30,478
2017-05-31,427
2017-06-30,400
2017-07-31,316
2017-08-31,461
2017-09-30,487
2017-10-31,587
2017-11-30,725
2017-12-31,912
2018-01-31,981
2018-02-28,1108
2018-03-31,960
2018-04-30,516
2018-05-31,336
2018-06-30,358
2018-07-31,280
2018-08-31,427
2018-09-30,451
2018-10-31,588
2018-11-30,771
2018-12-31,959
2019-01-31,1148
2019-02-28,748
2019-03-31,683
2019-04-30,488
2019-05-31,467
2019-06-30,400
2019-07-31,320
2019-08-31,488
2019-09-30,454
